"filename", "language", "Markdown", "JavaScript", "Vue", "HTML", "SCSS", "CSS", "XML", "YAML", "JSON", "JSON with Comments", "Log", "comment", "blank", "total"
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\document\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\writer\content.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 1, 51
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\writer\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.css", "CSS", 0, 0, 0, 0, 0, 598, 0, 0, 0, 0, 0, 16, 1, 615
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.inline.css", "CSS", 0, 0, 0, 0, 0, 606, 0, 0, 0, 0, 0, 16, 1, 623
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.mobile.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 1, 30
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.css", "CSS", 0, 0, 0, 0, 0, 2607, 0, 0, 0, 0, 0, 18, 1, 2626
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.mobile.css", "CSS", 0, 0, 0, 0, 0, 642, 0, 0, 0, 0, 0, 30, 1, 673
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.css", "CSS", 0, 0, 0, 0, 0, 598, 0, 0, 0, 0, 0, 16, 1, 615
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.inline.css", "CSS", 0, 0, 0, 0, 0, 606, 0, 0, 0, 0, 0, 16, 1, 623
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.mobile.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 1, 30
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.css", "CSS", 0, 0, 0, 0, 0, 2607, 0, 0, 0, 0, 0, 18, 1, 2626
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.mobile.css", "CSS", 0, 0, 0, 0, 0, 642, 0, 0, 0, 0, 0, 30, 1, 673
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\zh_CN.js", "JavaScript", 0, 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 419
"d:\vscode_project\Performace-MM\front-end\src\components\workStation\projectOverview.vue", "Vue", 0, 0, 509, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 528
"d:\vscode_project\Performace-MM\front-end\src\components\workStation\projectOverviewManager.vue", "Vue", 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 198
"d:\vscode_project\Performace-MM\front-end\src\components\workStation\projectProcessDetail.vue", "Vue", 0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 317
"d:\vscode_project\Performace-MM\front-end\src\config\http.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 110
"d:\vscode_project\Performace-MM\front-end\src\config\interface.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 101
"d:\vscode_project\Performace-MM\front-end\src\icons\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\404.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\bug.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\chart.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\clipboard.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\communication.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\component.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\documentation.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\drag.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\education.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\email.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\example.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\excel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\exit-fullscreen.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\eye-open.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
